Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,WasBatched,DwmNotified,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.082554,17.385,16.678,15.060,31.873,81.631
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.097980,15.426,16.723,16.211,33.923,82.928
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.114592,16.613,16.604,16.845,34.230,82.920
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.134080,19.488,16.709,15.214,31.254,80.141
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.151723,17.642,16.785,13.077,30.474,79.284
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.166297,14.575,16.596,15.281,32.315,81.305
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.184361,18.064,16.655,13.665,31.007,79.897
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.199361,15.000,16.658,15.505,33.022,81.556
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.216893,17.533,16.787,15.765,31.828,80.810
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.233395,16.501,16.743,14.948,32.182,81.051
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.251538,18.144,16.681,13.315,30.591,79.589
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.267286,15.748,16.698,25.930,31.580,80.539
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.358451,91.164,32.979,0.659,0.602,22.354
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.361170,2.719,16.898,0.467,0.466,36.533
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.362435,1.265,16.500,0.362,2.391,51.768
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.372178,9.743,16.656,0.808,9.167,58.681
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.374404,2.226,16.735,6.971,24.085,73.191
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.383729,9.325,16.703,15.372,31.039,80.568
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.404251,20.521,16.590,11.072,27.074,76.637
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.423773,19.523,16.676,7.749,24.509,73.790
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,7.432124,8.351,16.640,15.939,32.804,82.079
